,Unnamed: 0,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD
411,411,Derrick Rose,Memphis,1,2008-09,CHI,81,37.0,16.8,7.1,14.9,47.5,0.2,0.9,22.2,2.4,3.1,78.8,1.2,2.7,3.9,6.3,2.5,0.8,0.2,1.5,31.6,8.0,0.0,-1.5,1.88,91.0,Guard,1,0,0,1
413,413,O.J. Mayo,Southern California,3,2008-09,MEM,82,38.1,18.5,6.9,15.6,43.8,1.8,4.6,38.4,3.0,3.4,87.9,0.7,3.1,3.8,3.2,2.8,1.1,0.2,2.5,28.8,2.0,0.0,-5.1,1.96,95.0,Guard,0,0,0,1
414,414,Russell Westbrook,California-Los Angeles,4,2008-09,OKC,82,32.5,15.3,5.3,13.4,39.8,0.4,1.6,27.1,4.3,5.2,81.5,2.2,2.7,4.9,5.3,3.3,1.3,0.2,2.3,30.4,10.0,1.0,-3.3,1.91,91.0,Guard,0,0,0,1
416,416,Danilo Gallinari,Olimpia Milano (Italy),6,2008-09,NYK,28,14.7,6.1,2.0,4.5,44.8,1.1,2.6,44.4,0.9,1.0,96.3,0.5,1.5,2.0,0.5,0.5,0.5,0.1,1.7,10.6,0.0,0.0,1.8,2.08,107.0,Forward,0,0,1,0
417,417,Eric Gordon,Indiana,7,2008-09,LAC,78,34.3,16.1,5.3,11.6,45.6,1.7,4.3,38.9,3.8,4.5,85.4,0.6,2.0,2.6,2.8,2.1,1.0,0.4,2.2,25.5,0.0,0.0,-5.9,1.91,98.0,Guard,0,0,0,1
418,418,Joe Alexander,West Virginia,8,2008-09,MIL,59,12.1,4.7,1.7,4.2,41.6,0.3,0.8,34.8,1.0,1.4,69.9,0.7,1.2,1.9,0.7,0.9,0.3,0.5,1.8,9.5,0.0,0.0,-0.5,2.03,104.0,Forward,0,0,1,0
419,419,D.J. Augustin,Texas,9,2008-09,CHA,72,26.5,11.8,3.7,8.6,43.0,1.5,3.4,43.9,2.9,3.2,89.3,0.2,1.6,1.8,3.5,1.7,0.6,0.0,1.9,19.4,1.0,0.0,-0.5,1.8,83.0,Guard,0,0,0,1
420,420,Brook Lopez,Stanford,10,2008-09,NJN,82,30.5,13.0,5.5,10.3,53.1,0.0,0.0,0.0,2.1,2.6,79.3,2.7,5.4,8.1,1.0,1.8,0.5,1.8,3.1,29.7,18.0,0.0,-1.3,2.13,128.0,Center,0,1,0,0
421,421,Jerryd Bayless,Arizona,11,2008-09,POR,53,12.4,4.3,1.3,3.6,36.5,0.1,0.5,25.9,1.6,1.9,80.6,0.2,0.9,1.1,1.5,1.1,0.3,0.0,1.5,7.8,0.0,0.0,-0.5,1.91,91.0,Guard,0,0,0,1
422,422,Jason Thompson,Rider,12,2008-09,SAC,82,28.1,11.1,4.3,8.7,49.7,0.0,0.1,0.0,2.4,3.5,69.2,2.9,4.5,7.4,1.1,1.8,0.6,0.7,3.8,23.7,17.0,0.0,-3.5,2.11,113.0,Forward-Center,0,1,1,0
423,423,Brandon Rush,Kansas,13,2008-09,IND,75,24.0,8.1,3.2,7.7,42.3,1.0,2.8,37.3,0.6,0.9,69.7,0.5,2.7,3.1,0.9,1.0,0.5,0.5,1.7,15.2,2.0,0.0,-2.4,1.98,102.0,Guard-Forward,0,0,1,1
425,425,Robin Lopez,Stanford,15,2008-09,PHX,60,10.2,3.2,1.2,2.3,51.8,0.0,0.0,0.0,0.8,1.1,69.1,0.9,1.1,2.0,0.1,0.5,0.2,0.7,1.6,7.8,0.0,0.0,-1.0,2.13,127.0,Center,0,1,0,0
426,426,Marreese Speights,Florida,16,2008-09,PHI,79,16.0,7.7,3.2,6.4,50.2,0.0,0.1,25.0,1.3,1.7,77.3,1.6,2.2,3.7,0.4,0.6,0.3,0.7,2.3,15.3,1.0,0.0,-1.0,2.08,116.0,Forward-Center,0,1,1,0
427,427,Roy Hibbert,Georgetown,17,2008-09,IND,70,14.4,7.1,2.8,6.0,47.1,0.0,0.0,0.0,1.4,2.1,66.7,1.6,1.8,3.5,0.7,0.8,0.3,1.1,3.1,15.6,0.0,0.0,-0.9,2.18,122.0,Center,0,1,0,0
