,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY
112,Petr Cornelie,Le Mans Sarthe Basket (France),53,2021-22,DEN,13,2.9,1.1,0.4,1.2,33.3,0.1,0.6,12.5,0.2,0.3,75.0,0.5,0.5,1.1,0.2,0.3,0.1,0.1,0.5,2.9,0,0,0.6,2.11,100,NaN,0
113,Kay Felder,Oakland,54,2016-17,CLE,42,9.2,4.0,1.5,3.8,39.2,0.2,0.5,31.8,0.8,1.2,71.4,0.1,0.9,1.0,1.4,0.7,0.4,0.2,0.9,8.3,0,0,-1.3,1.75,80,Guard,0
114,Marcus Paige,North Carolina,55,2017-18,CHA,5,5.6,2.4,0.8,2.8,28.6,0.4,1.6,25.0,0.4,0.4,100,0.0,0.8,0.8,0.6,0.0,0.0,0.0,0.0,4.3,0,0,1.6,1.83,74,Guard,0
115,Daniel Hamilton,Connecticut,56,2017-18,OKC,6,4.6,2.0,0.8,1.8,45.5,0.3,0.8,40.0,0.0,0.0,0.0,0.0,0.8,0.8,1.3,0.3,0.2,0.0,0.3,5.2,0,0,-2.0,2.01,88,NaN,0
116,Wang Zhelin,Fujian,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
117,Abdel Nader,Iowa State,58,2017-18,BOS,48,10.9,3.0,1.0,3.1,33.6,0.5,1.4,35.4,0.5,0.8,59.0,0.3,1.2,1.5,0.5,0.7,0.3,0.2,0.9,6.5,0,0,-2.3,1.96,102,NaN,0
118,Isaiah Cousins,Oklahoma,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
119,Tyrone Wallace,California,60,2017-18,LAC,30,28.4,9.7,3.7,8.2,44.5,0.3,1.3,25.0,2.0,2.6,78.2,0.7,2.8,3.5,2.4,1.5,0.9,0.4,2.8,19.9,0,0,-0.8,1.96,90,NaN,0
120,Markelle Fultz,Washington,1,2017-18,PHI,14,18.1,7.1,3.2,7.9,40.5,0.0,0.1,0.0,0.7,1.5,47.6,0.8,2.3,3.1,3.8,1.2,0.9,0.3,1.6,18.7,1,1,1.4,1.93,95,Guard,0
121,Lonzo Ball,California-Los Angeles,2,2017-18,LAL,52,34.2,10.2,3.9,10.8,36.0,1.7,5.7,30.5,0.6,1.4,45.1,1.3,5.6,6.9,7.2,2.6,1.7,0.8,2.3,34.3,13,2,-0.4,1.98,86,Guard,0
122,Jayson Tatum,Duke,3,2017-18,BOS,80,30.5,13.9,5.0,10.4,47.5,1.3,3.0,43.4,2.7,3.2,82.6,0.6,4.4,5.0,1.6,1.4,1.0,0.7,2.1,26.2,4,0,4.3,2.03,95,Forward-Guard,0
